rank,name,tournament,year,variant,offsteam_listings,offsteam_censored,steam_volume_30d,lis_price,steam_price,steam_as_of,cagr_3y,history_years
unranked,Sticker | Astralis (Foil) | Boston 2018,Boston 2018,2018,Foil,9,0,,68.41,,,unknown,
unranked,Sticker | Astralis (Holo) | Boston 2018,Boston 2018,2018,Holo,12,0,,55.415,,,unknown,
unranked,Sticker | Avangar (Holo) | Boston 2018,Boston 2018,2018,Holo,10,0,,38.2,,,unknown,
unranked,Sticker | Astralis (Holo) | Atlanta 2017,Atlanta 2017,2017,Holo,17,0,,53.3,,,unknown,
unranked,Sticker | Astralis | Atlanta 2017,Atlanta 2017,2017,Paper,8,0,,9.75,,,unknown,
unranked,Sticker | ELEAGUE (Holo) | Atlanta 2017,Atlanta 2017,2017,Holo,4,0,,37.97,,,unknown,
unranked,Sticker | Flipsid3 Tactics (Foil) | Atlanta 2017,Atlanta 2017,2017,Foil,14,0,,172.12,,,unknown,
unranked,Sticker | Flipsid3 Tactics | Atlanta 2017,Atlanta 2017,2017,Paper,13,0,,34.85,,,unknown,
unranked,Sticker | Fnatic (Holo) | Atlanta 2017,Atlanta 2017,2017,Holo,8,0,,79.83,,,unknown,
unranked,Sticker | Gambit Gaming (Holo) | Atlanta 2017,Atlanta 2017,2017,Holo,22,0,,29.25,,,unknown,
unranked,Sticker | OpTic Gaming (Foil) | Atlanta 2017,Atlanta 2017,2017,Foil,8,0,,431.49,,,unknown,
unranked,Sticker | OpTic Gaming (Holo) | Atlanta 2017,Atlanta 2017,2017,Holo,9,0,,224.61,,,unknown,
unranked,Sticker | OpTic Gaming | Atlanta 2017,Atlanta 2017,2017,Paper,17,0,,31.66,,,unknown,
unranked,Sticker | Team EnVyUs (Foil) | Atlanta 2017,Atlanta 2017,2017,Foil,7,0,,57.37,,,unknown,
unranked,Sticker | Team EnVyUs (Holo) | Atlanta 2017,Atlanta 2017,2017,Holo,8,0,,116.555,,,unknown,
unranked,Sticker | Virtus.Pro (Foil) | Atlanta 2017,Atlanta 2017,2017,Foil,3,0,,95.89,,,unknown,
unranked,Sticker | Virtus.Pro (Holo) | Atlanta 2017,Atlanta 2017,2017,Holo,17,0,,61.98,,,unknown,
unranked,Sticker | Virtus.Pro | Atlanta 2017,Atlanta 2017,2017,Paper,15,0,,5.26,,,unknown,
unranked,Sticker | AdreN | Katowice 2019,Katowice 2019,2019,Paper,5,0,,0.92,,,unknown,
unranked,Sticker | Attacker | Katowice 2019,Katowice 2019,2019,Paper,5,0,,0.58,,,unknown,
